id,category,letter,answers,difficulty,time_limit,hint
1,Things you find in a kitchen,B,Bowl|Bread|Butter|Blender|Bottle|Broiler|Biscuit|Bagel|Beans|Beef|Broccoli|Baguette|Bun|Baking sheet|Basin,easy,60,
2,Types of animal,C,Cat|Cow|Camel|Cheetah|Crocodile|Crab|Crane|Cobra|Coyote|Chimpanzee|Chipmunk|Clam|Condor|Cricket|Caterpillar,easy,60,
3,Sports and games,B,Basketball|Baseball|Badminton|Boxing|Bowling|Bocce|Biathlon|Bobsled|Bouldering,easy,60,
4,Things you wear,S,Shoes|Shirt|Socks|Scarf|Sweater|Skirt|Suit|Shorts|Sneakers|Sandals|Sunglasses|Swimsuit|Suspenders,easy,60,
5,Types of food,P,Pizza|Pasta|Pie|Pancake|Pudding|Pork|Pickle|Pretzel|Peanut butter|Peach|Pear|Pineapple|Popcorn|Potato|Pepper,easy,60,
6,Vegetables,C,Carrot|Celery|Cabbage|Cauliflower|Corn|Cucumber|Chard|Chickpea|Courgette|Capsicum|Chili,easy,60,
7,Things at the beach,S,Sand|Shell|Sunscreen|Sunglasses|Swimsuit|Sandcastle|Seagull|Surfboard|Starfish|Sailboat|Shore|Shovel,easy,60,
8,Parts of the body,H,Hand|Head|Heart|Hip|Hair|Heel|Hamstring|Humerus|Hyoid,easy,60,Bones and muscles count too!
9,Types of animal,D,Dog|Deer|Dolphin|Duck|Donkey|Dingo|Dragonfly|Dove|Dachshund|Dingo|Dhole|Dormouse,easy,60,
10,Fruits,M,Mango|Melon|Mandarin|Mulberry|Mango|Muskmelon|Morello,easy,60,
11,Musical instruments,G,Guitar|Gong|Glockenspiel|Grand piano|Guiro|Gayageum,easy,60,
12,Things in a living room,S,Sofa|Shelf|Screen|Speakers|Side table|Stereo|Stool|Switch|Stand,easy,60,
13,Animals,R,Rabbit|Rat|Raccoon|Rhino|Robin|Ram|Ray|Reindeer|Roadrunner|Raven,easy,60,
14,Things you drink,J,Juice|Java|Jasmine tea|Jungle juice,easy,60,
15,Colors,B,Blue|Black|Brown|Beige|Burgundy|Bronze|Blush,easy,12,
16,Jobs and professions,D,Doctor|Driver|Dentist|Detective|Designer|Director|Diver|Dancer|Developer,easy,60,
17,Things at school,P,Pencil|Pen|Paper|Projector|Poster|Principal|Protractor|Portfolio,easy,60,
18,Animals,F,Fox|Frog|Fish|Flamingo|Ferret|Falcon|Fly|Firefly|Finch|Ferret,easy,60,
